hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,10,100,8,3,0.14154981997572064,0.4085890766187651
10,1,0.001,10,100,16,1,0.13950388369030198,0.423638695267493
10,1,0.001,10,100,16,2,0.13461985439317883,0.43171447804950114
10,1,0.001,10,100,16,3,0.13997787516150645,0.4057554111391186
10,1,0.001,10,150,4,1,0.14657264146984114,0.32142745556793606
10,1,0.001,10,150,4,2,0.12477361237959476,0.49249784933585083
10,1,0.001,10,150,4,3,0.16460502063810503,0.12770535957782547
10,1,0.001,10,150,8,1,0.1478172735510778,0.3288054777437618
10,1,0.001,10,150,8,2,0.15162874171478863,0.27274123220814894
10,1,0.001,10,150,8,3,0.1321283250333227,0.44732856071735827
10,1,0.001,10,150,16,1,0.13379186372703863,0.4322779788545157
10,1,0.001,10,150,16,2,0.146702351775086,0.37387960286645616
10,1,0.001,10,150,16,3,0.11640650805889607,0.5675067480634102
10,1,0.01,1,50,4,1,0.2682135449914341,-1.08627011433959
10,1,0.01,1,50,4,2,0.2607079209198818,-0.9430985808454431
10,1,0.01,1,50,4,3,0.28562413821535904,-1.1534864385912833
10,1,0.01,1,50,8,1,0.24733544540749106,-0.7714276615664941
10,1,0.01,1,50,8,2,0.2413440294450708,-0.6994019091271204
10,1,0.01,1,50,8,3,0.23302597331493893,-0.6219317092256296
10,1,0.01,1,50,16,1,0.23342728051228512,-0.4730256873944345
10,1,0.01,1,50,16,2,0.21133891914263359,-0.28729418352340685
10,1,0.01,1,50,16,3,0.2211908619730432,-0.4335147342782095
10,1,0.01,1,100,4,1,0.29028119697264476,-1.3253961356007586
10,1,0.01,1,100,4,2,0.27141991601048604,-1.1132496808596772
10,1,0.01,1,100,4,3,0.2667605569004274,-1.1019730965689143
10,1,0.01,1,100,8,1,0.25870365924381494,-0.9707462010505037
10,1,0.01,1,100,8,2,0.24311657940865875,-0.7895844317479945
10,1,0.01,1,100,8,3,0.26260702314988116,-0.9992543531362854
10,1,0.01,1,100,16,1,0.23849627585418484,-0.6633262430168474
10,1,0.01,1,100,16,2,0.21540190615431706,-0.36899819540516576
10,1,0.01,1,100,16,3,0.22052117382879743,-0.3120570879876574
10,1,0.01,1,150,4,1,0.30342495786349677,-1.484616535051352
10,1,0.01,1,150,4,2,0.2948006682415036,-1.3986524282728499
10,1,0.01,1,150,4,3,0.2892095440446128,-1.1753651455826346
10,1,0.01,1,150,8,1,0.26852014480531644,-1.0678864475063392
10,1,0.01,1,150,8,2,0.2705089739781506,-1.0774842261768094
10,1,0.01,1,150,8,3,0.2762354597214987,-1.2178862521857305
10,1,0.01,1,150,16,1,0.2432907547367669,-0.7252980887516935
10,1,0.01,1,150,16,2,0.24622465894232382,-0.7619738510878824
10,1,0.01,1,150,16,3,0.2167803980683326,-0.44280286121604684
10,1,0.01,5,50,4,1,0.27450602535167434,-1.137097947317256
10,1,0.01,5,50,4,2,0.28070818804603304,-1.2631071617329415
10,1,0.01,5,50,4,3,0.2974971908271574,-1.3994378060663921
10,1,0.01,5,50,8,1,0.2223221067910998,-0.5192244351384767
10,1,0.01,5,50,8,2,0.23021486837351762,-0.5368764858685393
10,1,0.01,5,50,8,3,0.253925254671144,-0.8647457389034081
10,1,0.01,5,50,16,1,0.19645192716678878,-0.19712276813147844
10,1,0.01,5,50,16,2,0.24704530210883402,-0.5893715361624792
10,1,0.01,5,50,16,3,0.20121596189085628,-0.24790197052213858
10,1,0.01,5,100,4,1,0.26976659436617495,-1.1409525819702582
10,1,0.01,5,100,4,2,0.2695962391997603,-1.173518124551967
10,1,0.01,5,100,4,3,0.26895525866674513,-1.1482577211629752
10,1,0.01,5,100,8,1,0.2606140593258801,-1.033815559652485
10,1,0.01,5,100,8,2,0.2674084621453157,-1.0278933322378316
10,1,0.01,5,100,8,3,0.25437920836743233,-0.9187068936535558
10,1,0.01,5,100,16,1,0.24161493124737995,-0.752153143771527
10,1,0.01,5,100,16,2,0.2259613064120158,-0.5998533841588205
