hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
50,1,0.01,1,150,8,1,0.2635330162416953,-0.9043985002755457
50,1,0.01,1,150,16,1,0.22265477735330158,-0.46986422555942076
50,1,0.01,5,50,4,1,0.30494859914282724,-1.5630857451774904
50,1,0.01,5,50,8,1,0.36329024333273885,-2.550376533858469
50,1,0.01,5,50,16,1,0.1784975198693161,-0.0011547424902556003
50,1,0.01,5,100,4,1,0.32117052084543535,-1.693122147802172
50,1,0.01,5,100,8,1,0.3161803501103611,-1.630540285399197
50,1,0.01,5,100,16,1,0.21931402653168805,-0.5019631607251247
50,1,0.01,5,150,4,1,0.26889000688644643,-0.7182928194807658
50,1,0.01,5,150,8,1,0.2847139855023311,-1.3375641633710988
50,1,0.01,5,150,16,1,0.2936283935395812,-1.3955547029134925
50,1,0.01,10,50,4,1,0.3245243756525395,-1.7670540214673203
50,1,0.01,10,50,8,1,0.27147455329372644,-0.9881638857792707
50,1,0.01,10,50,16,1,0.276474177707425,-1.0610367297571144
50,1,0.01,10,100,4,1,0.3192597984281434,-1.6775824568747404
50,1,0.01,10,100,8,1,0.3505470978320706,-2.0436382199021548
50,1,0.01,10,100,16,1,0.25727330349880373,-0.8659855729802985
50,1,0.01,10,150,4,1,0.18710320542246675,0.30996852561745747
50,1,0.01,10,150,8,1,0.2550173829936971,-0.9970342214168997
50,1,0.01,10,150,16,1,0.27306164461197696,-1.213838903600478
50,1,0.1,1,50,4,1,0.2278078125245465,0.010624613219608059
50,1,0.1,1,50,8,1,0.387171892257047,-2.3852970623816554
50,1,0.1,1,50,16,1,0.24328482098871618,-0.5356143612217683
50,1,0.1,1,100,4,1,0.26175644966496775,0.07067431133440505
50,1,0.1,1,100,8,1,0.3230749023073592,-1.6737476201529464
50,1,0.1,1,100,16,1,0.3544727991503909,-1.9647099332990146
50,1,0.1,1,150,4,1,0.14690465278639436,0.6163057298531152
50,1,0.1,1,150,8,1,0.35800062386954506,-2.521886523991422
50,1,0.1,1,150,16,1,0.26484940156901815,-0.8091837289236328
50,1,0.1,5,50,4,1,0.3755488153197128,-0.5311150611483966
50,1,0.1,5,50,8,1,0.43254741779172734,-1.6927598429159234
50,1,0.1,5,50,16,1,0.5176293062553297,-2.7941384195792915
50,1,0.1,5,100,4,1,0.7837814931182144,-7.738979212077959
50,1,0.1,5,100,8,1,0.3163311550986151,-0.16635287468601145
50,1,0.1,5,100,16,1,0.253357355173936,-0.5498248148567166
50,1,0.1,5,150,4,1,0.5848039875315199,-6.251979440202958
50,1,0.1,5,150,8,1,0.5577703009893755,-5.199550563291486
50,1,0.1,5,150,16,1,0.3160011899811808,-1.1135551982058134
50,1,0.1,10,50,4,1,0.35794673974292224,-1.5183239721573436
50,1,0.1,10,50,8,1,0.25404981954383765,0.024163793536260414
50,1,0.1,10,50,16,1,0.36432716807987015,-1.9991296378698729
50,1,0.1,10,100,4,1,0.27073268817556634,-0.3544605039300983
50,1,0.1,10,100,8,1,1.0131819947334488,-13.180335529330115
50,1,0.1,10,100,16,1,0.5732991916701135,-4.1502158592986165
50,1,0.1,10,150,4,1,0.42968196401691083,-2.5041773705659853
50,1,0.1,10,150,8,1,0.5977121763121551,-4.267744793446396
50,1,0.1,10,150,16,1,0.22584534743999632,-0.202080594162388
50,2,0.001,1,50,4,1,0.11511512831372013,0.6087831789581879
50,2,0.001,1,50,8,1,0.11131349326030063,0.6663443920446009
50,2,0.001,1,50,16,1,0.11340843719590477,0.6588059225364478
50,2,0.001,1,100,4,1,0.1279307570067408,0.5702154012026963
50,2,0.001,1,100,8,1,0.11745190477698728,0.6359549641051385
50,2,0.001,1,100,16,1,0.10191976974779329,0.720393286784083
50,2,0.001,1,150,4,1,0.10567296314464221,0.664393231875997
50,2,0.001,1,150,8,1,0.10589312211281529,0.6817174066402069
50,2,0.001,1,150,16,1,0.11120921030852514,0.6866083706666679
50,2,0.001,5,50,4,1,0.17115147085496712,0.08677415275511469
50,2,0.001,5,50,8,1,0.16993944148699425,0.2468300330446721
50,2,0.001,5,50,16,1,0.13520728779196306,0.4898309425256041
50,2,0.001,5,100,4,1,0.19460132703393232,-0.06816990050043881
50,2,0.001,5,100,8,1,0.18760583165417452,0.11846203212658468
50,2,0.001,5,100,16,1,0.13905021722280553,0.44413408103534713
50,2,0.001,5,150,4,1,0.22197384774323442,-0.43072143854309597
50,2,0.001,5,150,8,1,0.1626532411853313,0.15584292545014078
50,2,0.001,5,150,16,1,0.1257026271125406,0.4955798888879521
50,2,0.001,10,50,4,1,0.1928581560153675,-0.09710961644312732
50,2,0.001,10,50,8,1,0.14790109256979816,0.3388635485946466
50,2,0.001,10,50,16,1,0.12121513615295644,0.5595823072652342
50,2,0.001,10,100,4,1,0.1989866957150078,-0.19627782727410037
50,2,0.001,10,100,8,1,0.19138286854156328,0.01927569565923304
50,2,0.001,10,100,16,1,0.1461484904603159,0.4485398933673772
50,2,0.001,10,150,4,1,0.2226484077923091,-0.473051759598073
50,2,0.001,10,150,8,1,0.16306411308884272,0.1844961894880891
